Palabra,Frecuencia
partes,246
convención,154
desarrollo,140
cp,130
transferencia,115
actividades,110
tecnología,110
países,99
sesiones,93
aplicación,92
anexo,88
artículo,88
período,85
grupo,82
cambio,81
conferencia,79
climático,78
decisión,77
i,77
nacionales,73
información,69
expertos,68
º,64
tecnologías,64
medidas,64
página,62
fccccpadd,62
secretaría,62
párrafo,60
marco,59
programa,57
organizaciones,54
fondo,54
labor,52
apoyo,51
necesidades,50
trabajo,49
pertinentes,47
incluidas,47
programas,45
informe,45
b,45
fin,44
cuenta,43
medio,43
examen,43
emisiones,43
particular,43
presente,39
recursos,38
ejecución,37
mundial,37
financiación,36
ambiente,35
comunicaciones,34
c,34
pide,34
cooperación,33
d,33
informes,32
órgano,32
adaptación,32
resultados,32
subsidiario,30
mejorar,30
evaluación,29
promover,28
internacionales,28
iniciativas,27
naciones,27
unidas,27
parte,27
presupuesto,27
conformidad,26
órganos,26
capacidad,26
recomendaciones,25
deforestación,25
contribuciones,25
intergubernamentales,25
diciembre,24
gastos,24
bosques,24
privado,24
financiero,23
decide,22
recordando,22
acceso,22
derivadas,22
menos,22
decisiones,21
adelantados,21
financieros,21
mediante,21
invita,21
párrafos,21
internacional,21
kyoto,20
cuarto,20
protocolo,20
escala,20
clima,20
relación,20
total,20
gett,20
reuniones,19
eficacia,19
sector,19
regionales,19
reunión,19
participación,19
proyectos,19
siguientes,18
períodos,18
público,18
facilitar,18
degradación,18
fomento,17
colaboración,17
reducción,17
república,17
bienio,17
subsidiarios,17
servicios,17
ii,17
financieras,17
adopción,16
realización,16
según,16
cuadro,16
plenaria,16
cosas,16
base,16
cuestiones,16
mitigación,16
sesión,16
así,16
hacer,16
previstas,15
calidad,15
deberían,15
documento,15
todas,15
sostenible,15
medios,15
octava,15
nacional,15
instituciones,15
racionales,14
conviene,14
evaluaciones,14
relativas,14
despliegue,14
fondos,14
evaluar,14
fiduciario,14
nota,14
posible,14
plazo,14
condiciones,14
lecciones,14
difusión,14
gobierno,14
aprendidas,14
mandato,14
asesoramiento,14
osact,14
directrices,14
mecanismo,13
proceda,13
figura,13
alentar,13
ent,13
capacitación,13
eeuu,13
intergubernamental,13
demostración,13
cada,13
tardar,13
dólares,12
científico,12
iniciativa,12
f,12
fuentes,12
intercambio,12
presentación,12
inversión,12
además,12
disposiciones,12
procesos,12
investigación,12
general,12
técnico,12
instrumentos,11
examinar,11
determinar,11
arreglo,11
circunstancias,11
costos,11
apoyar,11
reducir,11
mecanismos,11
celebración,11
g,11
funciones,11
crear,11
objetivo,11
pedir,11
prácticas,11
aplicar,11
tecnológico,11
preparación,11
orientación,11
miembro,11
enfoques,11
documentos,11
ser,11
