Palabra,Frecuencia,Archivo
distr,1,CP13 UNFCC
general,14,CP13 UNFCC
fccccpadd,62,CP13 UNFCC
marzo,6,CP13 UNFCC
español,2,CP13 UNFCC
original,1,CP13 UNFCC
inglés,1,CP13 UNFCC
conferencio,79,CP13 UNFCC
parte,273,CP13 UNFCC
informe,77,CP13 UNFCC
º,64,CP13 UNFCC
período,103,CP13 UNFCC
sesión,109,CP13 UNFCC
celebrado,2,CP13 UNFCC
bali,8,CP13 UNFCC
diciembre,24,CP13 UNFCC
adición,1,CP13 UNFCC
segundo,6,CP13 UNFCC
medida,66,CP13 UNFCC
adoptada,6,CP13 UNFCC
ge,1,CP13 UNFCC
s,1,CP13 UNFCC
nación,27,CP13 UNFCC
unidas,27,CP13 UNFCC
convención,161,CP13 UNFCC
marco,59,CP13 UNFCC
cambio,85,CP13 UNFCC
climático,79,CP13 UNFCC
página,64,CP13 UNFCC
índice,2,CP13 UNFCC
decisión,98,CP13 UNFCC
cp,130,CP13 UNFCC
plan,11,CP13 UNFCC
acción,7,CP13 UNFCC
reducción,23,CP13 UNFCC
emisión,43,CP13 UNFCC
derivado,22,CP13 UNFCC
deforestación,25,CP13 UNFCC
país,104,CP13 UNFCC
desarrollo,140,CP13 UNFCC
método,5,CP13 UNFCC
estimular,3,CP13 UNFCC
adopción,16,CP13 UNFCC
transferencia,116,CP13 UNFCC
tecnología,174,CP13 UNFCC
órgano,58,CP13 UNFCC
subsidiario,47,CP13 UNFCC
asesoramiento,14,CP13 UNFCC
científico,15,CP13 UNFCC
tecnológico,21,CP13 UNFCC
ejecución,37,CP13 UNFCC
cuarto,21,CP13 UNFCC
evaluación,43,CP13 UNFCC
grupo,89,CP13 UNFCC
intergubernamental,38,CP13 UNFCC
experto,69,CP13 UNFCC
examen,45,CP13 UNFCC
mecanismo,24,CP13 UNFCC
financiero,67,CP13 UNFCC
orientación,11,CP13 UNFCC
adicional,15,CP13 UNFCC
fondo,68,CP13 UNFCC
medio,59,CP13 UNFCC
ambiente,35,CP13 UNFCC
mundial,44,CP13 UNFCC
prórroga,2,CP13 UNFCC
mandato,17,CP13 UNFCC
menos,22,CP13 UNFCC
adelantado,21,CP13 UNFCC
programa,102,CP13 UNFCC
trabajo,54,CP13 UNFCC
nuevo,24,CP13 UNFCC
delhi,5,CP13 UNFCC
enmendar,5,CP13 UNFCC
aplicación,92,CP13 UNFCC
artículo,89,CP13 UNFCC
recopilación,5,CP13 UNFCC
síntesis,7,CP13 UNFCC
cuarta,3,CP13 UNFCC
comunicación,40,CP13 UNFCC
nacional,88,CP13 UNFCC
presentación,12,CP13 UNFCC
sistema,9,CP13 UNFCC
observación,8,CP13 UNFCC
clima,20,CP13 UNFCC
presupuesto,27,CP13 UNFCC
función,18,CP13 UNFCC
actividad,111,CP13 UNFCC
secretacer,62,CP13 UNFCC
bienio,17,CP13 UNFCC
fecha,11,CP13 UNFCC
lugar,6,CP13 UNFCC
celebración,11,CP13 UNFCC
calendario,4,CP13 UNFCC
reunión,38,CP13 UNFCC
resolución,4,CP13 UNFCC
agradecimiento,10,CP13 UNFCC
gobierno,21,CP13 UNFCC
república,17,CP13 UNFCC
indonesio,6,CP13 UNFCC
población,5,CP13 UNFCC
provincia,2,CP13 UNFCC
resuelto,1,CP13 UNFCC
mejorar,32,CP13 UNFCC
